交易標的,土地移轉總面積平方公尺,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯,真實單價(元/平方公尺),交易年,交易月,建築完成年,屋齡,移轉層次_num,總樓層數_num,是否為頂樓,土地筆數,建物棟數,車位數,鄉鎮市區_中區,鄉鎮市區_北區,鄉鎮市區_北屯區,鄉鎮市區_南區,鄉鎮市區_南屯區,鄉鎮市區_后里區,鄉鎮市區_外埔區,鄉鎮市區_大安區,鄉鎮市區_大甲區,鄉鎮市區_大肚區,鄉鎮市區_大里區,鄉鎮市區_大雅區,鄉鎮市區_太平區,鄉鎮市區_新社區,鄉鎮市區_東勢區,鄉鎮市區_東區,鄉鎮市區_梧棲區,鄉鎮市區_沙鹿區,鄉鎮市區_清水區,鄉鎮市區_潭子區,鄉鎮市區_烏日區,鄉鎮市區_石岡區,鄉鎮市區_神岡區,鄉鎮市區_西區,鄉鎮市區_西屯區,鄉鎮市區_豐原區,鄉鎮市區_霧峰區,鄉鎮市區_龍井區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_其他,建物型態_華廈(10層含以下有電梯),建物型態_透天厝,主要用途_住商用,主要用途_住家用,主要用途_其他,主要用途_商業用,主要用途_辦公用,主要建材_其他,主要建材_加強磚造,主要建材_鋼筋混凝土造,主要建材_鋼骨鋼筋混凝土造、鋼筋混凝土造,車位類別_一樓平面,車位類別_其他,車位類別_升降平面,車位類別_升降機械,車位類別_坡道平面,車位類別_坡道機械,車位類別_塔式車位,使用分區_一般農業區,使用分區_住,使用分區_其他,使用分區_商,使用分區_山坡地保育區,使用分區_工,使用分區_工業區,使用分區_特定農業區,使用分區_農,使用分區_都市：其他:住宅區,使用分區_都市：其他:保護區,使用分區_都市：其他:第一之二種住宅區,使用分區_都市：其他:第一種新市政中心專用區,使用分區_都市：其他:第三種新市政中心專用區,使用分區_都市：其他:第三種遊憩區,使用分區_都市：其他:第二種住宅區,使用分區_都市：其他:第二種創新研發專用區,使用分區_都市：其他:第五種新市政中心專用區,使用分區_都市：其他:第八種新市政中心專用區,使用分區_都市：其他:第六種新市政中心專用區,使用分區_都市：其他:第四種新市政中心專用區,使用分區_都市：其他:道路用地,使用分區_都市：其他:風景區,使用分區_鄉村區,Income_Median,Higher_Ed_Ratio,id,Address,Response_Address,Response_X,Response_Y
房地(土地+建物),25.42,17.93,0,0,0,0,1,1570000.0,87563,0.0,0.0,17.93,0.0,0.0,1,87562.7440044618,2025,11,1985.0,40.0,0.0,7.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,56.05838623907972,4.0,臺中市西屯區福上巷龍欣一弄３號,找不到指定的門牌地址。,,
房地(土地+建物),35.62,133.35,3,2,3,1,0,18500000.0,138733,0.0,0.0,83.39,0.0,21.94,1,138732.6584176978,2025,11,2025.0,0.0,3.0,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,46.56090222399899,37.0,臺中市西區大墩１９街７號,找不到指定的門牌地址。,,
房地(土地+建物),23.48,126.27,3,2,2,1,1,9950000.0,78799,0.0,0.0,77.45,0.0,10.11,1,78799.39811515006,2025,10,2015.0,10.0,2.0,14.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,355.0,臺中市西屯區福上巷龍欣一弄５號,找不到指定的門牌地址。,,
房地(土地+建物),6.63,41.79,2,2,2,1,0,6300000.0,150754,0.0,0.0,28.37,0.0,7.39,1,150753.7688442211,2025,10,1992.0,33.0,3.0,5.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,56.05838623907972,356.0,臺中市西屯區福上巷龍欣一弄１號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,26.59,105.12,2,1,1,1,1,10290000.0,97888,26.2,0.0,44.11,0.0,7.01,1,130385.20020273696,2025,10,2024.0,1.0,7.0,12.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,47.205474629230295,503.0,臺中市南區南平路３３８巷８號,找不到指定的門牌地址。,,
房地(土地+建物),166.0,612.95,18,3,10,1,0,37900000.0,61832,0.0,0.0,574.13,8.59,30.23,0,61832.12333795578,2025,10,1981.0,44.0,5.0,5.0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,56.05838623907972,513.0,臺中市西屯區福上巷２１４弄７２號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,11.03,139.73000000000002,2,2,1,1,1,13250000.0,124477,41.72,1050000.0,56.79,0.0,7.02,1,124477.09417406384,2025,10,2021.0,4.0,11.0,18.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,684.0,臺中市西區大墩１２街２９號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,38.97,201.48,3,2,4,1,1,23000000.0,114155,0.0,0.0,94.5,0.0,8.57,1,114155.25114155252,2025,9,2015.0,10.0,0.0,12.0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,46.523413127178095,793.0,臺中市西區精誠３０街３６號,找不到指定的門牌地址。,,
房地(土地+建物),3.96,33.41,1,0,1,1,1,2420000.0,72433,0.0,0.0,17.76,0.0,2.76,1,72433.40317270279,2025,9,1995.0,30.0,5.0,16.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,56.05838623907972,821.0,臺中市西屯區福上巷２１４弄３５號,找不到指定的門牌地址。,,
房地(土地+建物),9.03,54.85000000000001,1,0,1,1,1,6300000.0,114859,0.0,0.0,30.75,0.0,3.59,1,114858.70556061986,2025,9,2021.0,4.0,4.0,7.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,56.05838623907972,834.0,臺中市東區東福路１４２號,找不到指定的門牌地址。,,
